Date,Net worth,Real Estate,Vehicles,Net Investments
11/10/2025,73816000,35047147.73,181016,38587836.27
11/11/2025,73987000,35047147.73,181016,38758836.27
11/12/2025,74038000,35047147.73,181016,38809836.27
11/13/2025,73639000,35047147.73,181016,38410836.27
11/14/2025,73568000,35047147.73,181016,38410836.27
11/15/2025,73565000,35047147.73,181016,38336836.27
11/16/2025,73564000,35047147.73,181016,38336836.27
11/17/2025,73215000,35047147.73,181016,37986836.27
11/18/2025,74453000,35047147.73,181016,39224836.27
11/19/2025,74297000,35047147.73,181016,39068836.27
11/20/2025,75301000,35047147.73,181016,40072836.27
11/21/2025,74284000,35047147.73,181016,39055836.27
11/22/2025,74321000,35047147.73,181016,39092836.27
11/23/2025,74330000,35047147.73,181016,39101836.27
11/24/2025,74628000,35047147.73,181016,39399836.27
11/25/2025,74968000,35047147.73,181016,39739836.27
11/26/2025,75129000,35047147.73,181016,39900836.27
11/27/2025,75147000,35047147.73,181016,39918836.27
11/28/2025,75300000,35047147.73,181016,40071836.27
11/29/2025,75313000,35047147.73,181016,40084836.27
11/30/2025,75308000,35047147.73,181016,40079836.27
12/1/2025,75141000,35047147.73,181016,39912836.27
12/2/2025,75137000,35047147.73,181016,39908836.27
12/3/2025,75269000,35047147.73,181016,40040836.27
12/4/2025,75285000,35047147.73,181016,40056836.27
12/5/2025,75346000,35047147.73,181016,40117836.27
12/6/2025,75341000,35047147.73,181016,40112836.27
12/7/2025,75340000,35047147.73,181016,40111836.27
12/8/2025,75257000,35047147.73,181016,40028836.27
12/9/2025,75233000,35047147.73,181016,40004836.27
12/10/2025,75459000,35047147.73,181016,40230836.27
12/11/2025,75564000,35047147.73,181016,40335836.27
12/12/2025,75300000,35047147.73,181016,40071836.27
12/13/2025,75247000,35047147.73,181016,40018836.27
12/14/2025,75247000,35047147.73,181016,40018836.27
12/15/2025,75217000,35047147.73,181016,39988836.27
12/16/2025,75121000,35047147.73,181016,39892836.27
12/17/2025,74740000,35047147.73,181016,39511836.27
12/18/2025,74868000,35047147.73,181016,39639836.27
12/19/2025,75039000,35047147.73,181016,39810836.27
12/20/2025,75083000,35047147.73,181016,39854836.27
12/21/2025,75082000,35047147.73,181016,39853836.27
12/22/2025,75458000,35047147.73,181016,40229836.27
12/23/2025,75557000,35047147.73,181016,40328836.27
12/24/2025,75550000,35047147.73,181016,40321836.27
12/25/2025,75567000,35047147.73,181016,40338836.27
12/26/2025,75568000,35047147.73,181016,40339836.27
12/27/2025,75569000,35047147.73,181016,40340836.27
12/28/2025,75494000,35047147.73,181016,40265836.27
12/29/2025,75465000,35047147.73,181016,40236836.27
12/30/2025,75292000,35047147.73,181016,40063836.27
12/31/2025,75292000,35047147.73,181016,40063836.27
1/1/2026,75272000,35047147.73,181016,40043836.27
1/2/2026,75338000,35047147.73,181016,40109836.27
1/3/2026,75343000,35047147.73,181016,40114836.27
1/4/2026,75341000,35047147.73,181016,40112836.27
1/5/2026,75549000,35047147.73,181016,40320836.27
1/6/2026,75754000,35047147.73,181016,40525836.27
1/7/2026,75640000,35047147.73,181016,40411836.27
1/8/2026,75714000,35047147.73,181016,40485836.27
1/9/2026,75867000,35047147.73,181016,40638836.27
1/10/2026,75897000,35047147.73,181016,40668836.27
1/11/2026,75832000,35047147.73,181016,40603836.27
1/12/2026,75722000,35047147.73,181016,40493836.27
1/13/2026,75903000,35047147.73,181016,40674836.27
1/14/2026,75741000,35047147.73,181016,40512836.27
1/15/2026,75722000,35047147.73,181016,40493836.27
1/16/2026,75765000,35047147.73,181016,40536836.27
1/17/2026,75730000,35047147.73,181016,40501836.27
1/18/2026,75730000,35047147.73,181016,40501836.27
1/19/2026,75730000,35047147.73,181016,40501836.27
1/20/2026,75190000,35047147.73,181016,39961836.27
1/21/2026,75443000,35047147.73,181016,40214836.27
1/22/2026,75573000,35047147.73,181016,40344836.27
1/23/2026,75573000,35047147.73,181016,40344836.27
1/24/2026,75582000,35047147.73,181016,40353836.27
1/25/2026,75622000,35047147.73,181016,40393836.27
1/26/2026,75625000,35047147.73,181016,40396836.27
1/27/2026,75748000,35047147.73,181016,40519836.27
1/28/2026,75850000,35047147.73,181016,40621836.27
1/29/2026,75745000,35047147.73,181016,40516836.27
1/30/2026,75601000,35047147.73,181016,40372836.27
1/31/2026,75597000,35047147.73,181016,40368836.27
2/1/2026,75729000,35047147.73,181016,40500836.27
2/2/2026,75457000,35047147.73,181016,40228836.27
2/3/2026,75370000,35047147.73,181016,40141836.27
2/4/2026,75027000,35047147.73,181016,39798836.27
2/5/2026,75436000,35047147.73,181016,40207836.27
2/6/2026,75468000,35047147.73,181016,40239836.27
2/7/2026,75491000,35047147.73,181016,40262836.27
2/8/2026,75649000,35047147.73,181016,40420836.27
2/9/2026,75647000,35047147.73,181016,40418836.27
2/10/2026,75647000,35047147.73,181016,40418836.27
2/11/2026,75647000,35047147.73,181016,40418836.27
